Feature1,Feature2,Feature3,Feature4,Feature5
sridhar,Male,Y,Doctorate,india
gautam,Male,Y,Doctorate,india
senthil,Male,Y,Graduate,india
kumar,Male,Y,Doctorate,india
kavin,Male,N,Doctorate,india
parvathi,Female,N,Graduate,america
srunitha,Female,N,Doctorate,india
midhila,Female,Y,Graduate,india
reshma,Female,Y,Doctorate,india
deepak,Male,Y,Doctorate,india
sundeep,Male,Y,Doctorate,india
lolith,Male,N,Graduate,india
vikram,Male,N,Doctorate,india
pranav,Male,N,Doctorate,america
balaji,Male,Y,Doctorate,london
balraj,Male,Y,Doctorate,canada
dhana,Male,N,Doctorate,india
naveen,Male,N,Graduate,america
deepan,Male,N,Doctorate,india
kanagaraj,Male,Y,Doctorate,india
jobince,Male,Y,Doctorate,india
hari,Male,Y,Doctorate,dubai
prakash,Male,Y,Doctorate,canada
pradeep,Male,N,Doctorate,australia
rahul,Male,N,Graduate,india
pramoth,Male,Y,Doctorate,india
bala,Male,N,Graduate,india
murali,Male,N,Doctorate,america
adharva,Male,Y,Doctorate,india
kesav,Male,Y,Doctorate,america
sundar,Male,Y,Doctorate,london
karthik,Male,Y,Doctorate,america
sathyan,Male,Y,Doctorate,canada
chandrasekar,Male,Y,Doctorate,india
chandran,Male,Y,Doctorate,india
kanagavel,Male,Y,Doctorate,india
subbaiyan,Male,N,Graduate,australia
uma,Female,N,Doctorate,australia
latha,Female,Y,Doctorate,india
bindhu,Female,N,Doctorate,india
trilekha,Female,N,Doctorate,india
vijaya,Female,N,Doctorate,canada
vijayan,Female,N,Graduate,india
sanjeevi,Male,N,Graduate,india
gandhi,Male,Y,Doctorate,india
nehru,Male,Y,Doctorate,india
mangai,Female,Y,Doctorate,australia
ambi,Female,N,Doctorate,india
nirmala,Female,N,Doctorate,america
vedprakash,Male,Y,Doctorate,canada
vimal,Male,Y,Graduate,india
sriram,Male,Y,Graduate,india
sooraj,Male,Y,Graduate,america
anusree,Female,Y,Doctorate,india
aksith,Male,Y,Graduate,london
venu,Male,Y,Doctorate,australia
gopal,Male,Y,Graduate,india
chaduary,Male,Y,Doctorate,australia
sathya,Female,Y,Doctorate,india
lakshmi,Female,Y,Doctorate,india
durai,Male,Y,Graduate,india
swamy,Male,Y,Doctorate,canada
gulshan,Male,N,Doctorate,america
archana,Female,Y,Doctorate,canada
mythili,Female,Y,Graduate,america
sushma,Female,Y,Graduate,dubai
meena,Female,Y,Graduate,australia
meera,Female,Y,Doctorate,india
sita,Female,Y,Graduate,india
ram,Male,Y,Doctorate,india
lakshman,Male,Y,Doctorate,india
hanuman,Male,N,Doctorate,india
bharathan,Male,Y,Doctorate,india
sathruganan,Male,N,Doctorate,india
bheeman,Male,Y,Doctorate,india
nakulan,Male,N,Doctorate,india
neelan,Male,N,Graduate,india
karnan,Male,N,Doctorate,india
john,Male,Y,Doctorate,india
kareena,Female,N,Doctorate,india
hansika,Female,Y,Doctorate,india
kushboo,Female,Y,Doctorate,india
ramya,Female,Y,Graduate,india
krishna,Female,N,Doctorate,india
surya,Male,Y,Doctorate,india
jothika,Female,Y,Doctorate,india
velan,Male,Y,Doctorate,america
shanmugam,Male,Y,Doctorate,india
arumugam,Male,Y,Doctorate,india
vinayak,Male,Y,Doctorate,india
